filename,source_pmc,paper_title,figure_num,description,license,shows_spina_bifida,image_type
pmc10309335_fig2_3d_spina_bifida.jpg,PMC10309335,"2D vs 3D US Evaluation of Lesion Level in Spina Bifida (Rev Bras Ginecol Obstet 2017)",Fig2,"3D ultrasound showing spina bifida lesion level landmarks",CC-BY-4.0,yes,single_us
pmc7545505_fig1_spinal_defect_brain.jpg,PMC7545505,"First trimester closed spina bifida with myelomeningocele (BMJ Case Rep 2020)",Fig1,"Spinal defect + brain views (9 panels)",CC-BY-NC-4.0,yes,composite_panel
pmc7545505_fig2_body_stalk.jpg,PMC7545505,"First trimester closed spina bifida with myelomeningocele (BMJ Case Rep 2020)",Fig2,"Body stalk anomaly US features",CC-BY-NC-4.0,yes,composite_panel
pmc9914716_fig3_normal_ventricles.jpg,PMC9914716,"Absence of Hernia Sack in Spina Bifida Repair (Diagnostics 2023)",Fig3,"Normal fontanelle US ventricles (postnatal)",CC-BY-4.0,no,single_us
pmc9914716_fig4_ventriculomegaly.jpg,PMC9914716,"Absence of Hernia Sack in Spina Bifida Repair (Diagnostics 2023)",Fig4,"Ventriculomegaly requiring VP shunt (postnatal)",CC-BY-4.0,yes,single_us
pmc11269449_fig1_lumbosacral_ntd.jpg,PMC11269449,"Newborn with prenatal diagnosis lumbosacral NTD",Fig1,"Prenatal US showing lumbosacral neural tube defect",Open Access,yes,composite_panel
pmc5024920_fig2_normal_3d_spine.jpg,PMC5024920,"Sonographic classification of fetal spinal anomalies (AJUM 2014)",Fig2,"Normal 3D rendered spine at different gestations",CC-BY,no,composite_panel
pmc5024920_fig3_transverse_spine.jpg,PMC5024920,"Sonographic classification of fetal spinal anomalies (AJUM 2014)",Fig3,"Transverse spine views at 20 weeks",CC-BY,no,composite_panel
pmc5024920_fig4_sagittal_conus.jpg,PMC5024920,"Sonographic classification of fetal spinal anomalies (AJUM 2014)",Fig4,"Sagittal spine showing conus medullaris",CC-BY,no,single_us
pmc5024920_fig5_coronal_ossification.jpg,PMC5024920,"Sonographic classification of fetal spinal anomalies (AJUM 2014)",Fig5,"Coronal spine showing ossification centres",CC-BY,no,single_us
pmc5024920_fig6_3d_spine_ribs.jpg,PMC5024920,"Sonographic classification of fetal spinal anomalies (AJUM 2014)",Fig6,"3D rendered spine and rib cage at 20 weeks",CC-BY,no,single_us
pmc5024920_fig7_multiplanar_conus.jpg,PMC5024920,"Sonographic classification of fetal spinal anomalies (AJUM 2014)",Fig7,"Multiplanar imaging for conus medullaris level",CC-BY,no,composite_panel
pmc5024920_fig10_abnormal_curvature.jpg,PMC5024920,"Sonographic classification of fetal spinal anomalies (AJUM 2014)",Fig10,"Abnormal spine curvature in 3 cases",CC-BY,yes,composite_panel
pmc5024920_fig11_cleft_vertebrae.jpg,PMC5024920,"Sonographic classification of fetal spinal anomalies (AJUM 2014)",Fig11,"Cleft thoracic vertebrae (3D US + post mortem)",CC-BY,yes,composite_panel
pmc5024920_fig12_block_vertebrae.jpg,PMC5024920,"Sonographic classification of fetal spinal anomalies (AJUM 2014)",Fig12,"Block vertebrae (3D US + postnatal radiograph)",CC-BY,yes,composite_panel
pmc5024920_fig13_hemivertebra.jpg,PMC5024920,"Sonographic classification of fetal spinal anomalies (AJUM 2014)",Fig13,"T6 hemivertebra (3D US + postnatal radiograph)",CC-BY,yes,composite_panel
pmc5024920_fig14_chiari_ii_cranial.jpg,PMC5024920,"Sonographic classification of fetal spinal anomalies (AJUM 2014)",Fig14,"Chiari II cranial features (lemon + banana signs)",CC-BY,yes,composite_panel
pmc5024920_fig15_open_ntd_vertebral.jpg,PMC5024920,"Sonographic classification of fetal spinal anomalies (AJUM 2014)",Fig15,"Open NTD vertebral features (transverse/coronal/sagittal)",CC-BY,yes,composite_panel
pmc5024920_fig16_3d_open_ntd.jpg,PMC5024920,"Sonographic classification of fetal spinal anomalies (AJUM 2014)",Fig16,"3D rendered open NTD vs normal spine",CC-BY,yes,composite_panel
pmc5024920_fig17_lipomeningocele.jpg,PMC5024920,"Sonographic classification of fetal spinal anomalies (AJUM 2014)",Fig17,"Lipomeningocele sagittal/coronal/transverse",CC-BY,yes,composite_panel
pmc5024920_fig18_lipomeningocele_mixed.jpg,PMC5024920,"Sonographic classification of fetal spinal anomalies (AJUM 2014)",Fig18,"Lipomeningocele US + post mortem",CC-BY,yes,composite_panel
pmc5024920_fig20_sacral_agenesis.jpg,PMC5024920,"Sonographic classification of fetal spinal anomalies (AJUM 2014)",Fig20,"Sacral agenesis coronal view vs normal",CC-BY,yes,composite_panel
pmc5024920_fig21_sacral_agenesis_sag.jpg,PMC5024920,"Sonographic classification of fetal spinal anomalies (AJUM 2014)",Fig21,"Sacral agenesis sagittal view vs normal",CC-BY,yes,composite_panel
